-138	-171	-96
-134	-166	-85
-124	-158	-69
-111	-152	-58
-93	-156	-45
-75	-155	-36
-58	-146	-33
-34	-138	-33
-16	-140	-33
3	-144	-33
26	-142	-33
48	-132	-33
68	-117	-33
81	-109	-33
85	-110	-33
86	-114	-33
86	-116	-33
89	-112	-33
93	-106	-33
96	-102	-33
96	-103	-33
95	-101	-33
96	-94	-33
97	-90	-33
98	-91	-33
98	-88	-33
98	-81	-33
99	-76	-33
100	-76	-33
100	-75	-33
99	-67	-33
98	-60	-33
99	-56	-33
101	-58	-33
101	-57	-33
100	-51	-33
100	-42	-33
99	-36	-33
100	-35	-33
100	-38	-33
100	-38	-33
100	-32	-33
100	-28	-33
100	-31	-33
100	-31	-33
100	-26	-33
100	-19	-33
100	-16	-33
100	-20	-33
100	-20	-33
100	-14	-33
100	-11	-33
100	-14	-33
100	-12	-33
100	-6	-33
100	-3	-33
100	-5	-33
100	-4	-33
100	4	-33
100	7	-33
100	5	-33
100	3	-33
100	7	-33
100	15	-33
100	19	-33
100	18	-33
100	14	-33
100	12	-33
100	16	-33
100	18	-33
100	16	-33
100	16	-33
100	21	-33
100	26	-33
100	25	-33
100	17	-33
100	14	-33
100	16	-33
100	24	-33
100	28	-33
100	26	-33
100	18	-33
100	16	-33
100	21	-33
100	24	-33
100	20	-33
100	16	-33
100	15	-33
100	20	-33
100	23	-33
100	22	-33
100	16	-33
100	15	-33
100	20	-33
100	24	-33
100	24	-33
100	19	-33
100	18	-33
100	24	-33
100	26	-33
100	20	-33
100	19	-33
100	24	-33
100	28	-33
100	27	-33
100	22	-33
100	20	-33
100	26	-33
100	26	-33
100	21	-33
100	20	-33
100	24	-33
100	31	-33
100	36	-33
100	35	-33
100	31	-33
100	29	-33
100	32	-33
100	34	-33
100	32	-33
100	30	-33
100	34	-33
100	36	-33
100	33	-33
100	32	-33
100	39	-33
100	42	-33
100	39	-33
100	32	-33
100	30	-33
100	33	-33
100	42	-33
100	46	-33
